"","UBIGEO","DEPARTAMENTO","PROVINCIA","DISTRITO","FALTAS_CONTRA_EL_PATRIMONIO","FALTAS_CONTRA_LA_SEGURIDAD_PUBLICA","FALTAS_CONTRA_LA_TRANQUILIDAD_PUBLICA","FALTAS_CONTRA_LAS_BUENAS_COSTUMBRES","FALTAS_CONTRA_LAS_PERSONAS"
"1","x010101","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS",9,0,0,4,53
"2","x010103","AMAZONAS","CHACHAPOYAS","BALSAS",1,0,2,2,0
"3","x010109","AMAZONAS","CHACHAPOYAS","LA JALCA",1,0,0,1,2
"4","x010110","AMAZONAS","CHACHAPOYAS","LEIMEBAMBA",3,0,0,0,7
"5","x010113","AMAZONAS","CHACHAPOYAS","MARISCAL CASTILLA",1,0,0,0,1
"6","x010114","AMAZONAS","CHACHAPOYAS","MOLINOPAMPA",1,0,0,1,4
"7","x010117","AMAZONAS","CHACHAPOYAS","QUINJALCA",1,0,0,1,1
"8","x010118","AMAZONAS","CHACHAPOYAS","SAN FRANCISCO DE DAGUAS",3,0,0,0,2
"9","x010201","AMAZONAS","BAGUA","BAGUA",5,0,0,3,11
"10","x010202","AMAZONAS","BAGUA","ARAMANGO",3,0,0,1,3
"11","x010203","AMAZONAS","BAGUA","COPALLIN",1,0,0,1,2
"12","x010205","AMAZONAS","BAGUA","IMAZA",0,0,0,0,2
"13","x010206","AMAZONAS","BAGUA","LA PECA",6,2,2,3,5
"14","x010301","AMAZONAS","BONGARA","JUMBILLA",3,0,0,0,8
"15","x010303","AMAZONAS","BONGARA","CHURUJA",0,0,0,0,2
"16","x010306","AMAZONAS","BONGARA","FLORIDA",0,0,0,0,6
"17","x010307","AMAZONAS","BONGARA","JAZAN",8,2,0,3,14
"18","x010311","AMAZONAS","BONGARA","VALERA",0,0,0,1,0
"19","x010312","AMAZONAS","BONGARA","YAMBRASBAMBA",3,0,0,1,1
"20","x010401","AMAZONAS","CONDORCANQUI","NIEVA",4,0,0,9,5
"21","x010501","AMAZONAS","LUYA","LAMUD",1,0,0,0,3
"22","x010502","AMAZONAS","LUYA","CAMPORREDONDO",1,1,0,0,0
"23","x010504","AMAZONAS","LUYA","COLCAMAR",1,0,0,0,1
"24","x010509","AMAZONAS","LUYA","LUYA",4,0,0,0,5
"25","x010512","AMAZONAS","LUYA","OCALLI",0,0,0,0,1
"26","x010521","AMAZONAS","LUYA","SANTO TOMAS",1,0,0,0,2
"27","x010522","AMAZONAS","LUYA","TINGO",2,0,0,0,6
"28","x010601","AMAZONAS","RODRIGUEZ DE MENDOZA","SAN NICOLAS",7,0,0,0,16
"29","x010602","AMAZONAS","RODRIGUEZ DE MENDOZA","CHIRIMOTO",2,0,0,0,2
"30","x010604","AMAZONAS","RODRIGUEZ DE MENDOZA","HUAMBO",4,0,0,6,18
"31","x010605","AMAZONAS","RODRIGUEZ DE MENDOZA","LIMABAMBA",1,0,0,3,0
"32","x010606","AMAZONAS","RODRIGUEZ DE MENDOZA","LONGAR",0,0,0,6,2
"33","x010609","AMAZONAS","RODRIGUEZ DE MENDOZA","OMIA",0,0,0,0,2
"34","x010610","AMAZONAS","RODRIGUEZ DE MENDOZA","SANTA ROSA",1,0,0,1,0
"35","x010701","AMAZONAS","UTCUBAMBA","BAGUA GRANDE",12,0,2,12,27
"36","x010702","AMAZONAS","UTCUBAMBA","CAJARURO",2,0,1,2,2
"37","x010703","AMAZONAS","UTCUBAMBA","CUMBA",0,0,0,0,4
"38","x010704","AMAZONAS","UTCUBAMBA","EL MILAGRO",2,1,0,3,11
"39","x010705","AMAZONAS","UTCUBAMBA","JAMALCA",1,0,1,0,3
"40","x010706","AMAZONAS","UTCUBAMBA","LONYA GRANDE",4,0,0,0,4
"41","x020101","ANCASH","HUARAZ","HUARAZ",77,1,7,9,448
"42","x020105","ANCASH","HUARAZ","INDEPENDENCIA",8,1,0,0,50
"43","x020110","ANCASH","HUARAZ","PARIACOTO",2,0,0,1,5
"44","x020112","ANCASH","HUARAZ","TARICA",4,0,0,1,14
"45","x020201","ANCASH","AIJA","AIJA",1,0,0,0,6
"46","x020301","ANCASH","ANTONIO RAYMONDI","LLAMELLIN",2,0,0,1,3
"47","x020401","ANCASH","ASUNCION","CHACAS",2,1,0,0,2
"48","x020501","ANCASH","BOLOGNESI","CHIQUIAN",3,0,0,0,20
"49","x020505","ANCASH","BOLOGNESI","CAJACAY",2,0,0,0,0
"50","x020507","ANCASH","BOLOGNESI","COLQUIOC",1,0,0,2,2
"51","x020508","ANCASH","BOLOGNESI","HUALLANCA",4,0,0,0,18
"52","x020601","ANCASH","CARHUAZ","CARHUAZ",1,0,1,0,27
"53","x020604","ANCASH","CARHUAZ","ANTA",3,0,1,0,6
"54","x020606","ANCASH","CARHUAZ","MARCARA",7,0,0,2,7
"55","x020609","ANCASH","CARHUAZ","SHILLA",2,0,0,0,19
"56","x020701","ANCASH","CARLOS FERMIN FITZCARRALD","SAN LUIS",0,0,0,0,6
"57","x020801","ANCASH","CASMA","CASMA",16,0,2,0,46
"58","x020804","ANCASH","CASMA","YAUTAN",21,1,1,0,44
"59","x020901","ANCASH","CORONGO","CORONGO",3,0,0,0,6
"60","x020905","ANCASH","CORONGO","LA PAMPA",3,0,0,1,4
"61","x021001","ANCASH","HUARI","HUARI",8,0,0,2,9
"62","x021004","ANCASH","HUARI","CHAVIN DE HUANTAR",5,0,0,0,41
"63","x021005","ANCASH","HUARI","HUACACHI",1,0,0,0,2
"64","x021009","ANCASH","HUARI","MASIN",0,0,0,0,2
"65","x021014","ANCASH","HUARI","SAN MARCOS",4,0,0,0,11
"66","x021016","ANCASH","HUARI","UCO",1,0,0,0,0
"67","x021101","ANCASH","HUARMEY","HUARMEY",7,0,0,0,64
"68","x021201","ANCASH","HUAYLAS","CARAZ",8,0,0,2,38
"69","x021202","ANCASH","HUAYLAS","HUALLANCA",1,0,0,0,3
