"","UBIGEO","DEPARTAMENTO","PROVINCIA","DISTRITO","FALTAS_CONTRA_EL_PATRIMONIO","FALTAS_CONTRA_LA_SEGURIDAD_PUBLICA","FALTAS_CONTRA_LA_TRANQUILIDAD_PUBLICA","FALTAS_CONTRA_LAS_BUENAS_COSTUMBRES","FALTAS_CONTRA_LAS_PERSONAS"
"1","x010101","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS",154,6,1,2,183
"2","x010107","AMAZONAS","CHACHAPOYAS","GRANADA",1,0,0,0,0
"3","x010110","AMAZONAS","CHACHAPOYAS","LEIMEBAMBA",26,5,0,5,38
"4","x010113","AMAZONAS","CHACHAPOYAS","MARISCAL CASTILLA",1,0,0,0,1
"5","x010114","AMAZONAS","CHACHAPOYAS","MOLINOPAMPA",1,0,0,2,2
"6","x010117","AMAZONAS","CHACHAPOYAS","QUINJALCA",14,0,0,0,5
"7","x010118","AMAZONAS","CHACHAPOYAS","SAN FRANCISCO DE DAGUAS",0,0,0,0,1
"8","x010201","AMAZONAS","BAGUA","BAGUA",137,1,1,9,190
"9","x010202","AMAZONAS","BAGUA","ARAMANGO",4,0,0,1,4
"10","x010203","AMAZONAS","BAGUA","COPALLIN",3,0,0,1,2
"11","x010205","AMAZONAS","BAGUA","IMAZA",46,0,1,0,65
"12","x010206","AMAZONAS","BAGUA","LA PECA",4,0,0,0,0
"13","x010301","AMAZONAS","BONGARA","JUMBILLA",18,2,0,3,26
"14","x010306","AMAZONAS","BONGARA","FLORIDA",12,5,0,0,31
"15","x010307","AMAZONAS","BONGARA","JAZAN",65,3,3,48,82
"16","x010311","AMAZONAS","BONGARA","VALERA",3,0,0,0,2
"17","x010312","AMAZONAS","BONGARA","YAMBRASBAMBA",5,1,0,0,24
"18","x010401","AMAZONAS","CONDORCANQUI","NIEVA",25,3,0,2,113
"19","x010501","AMAZONAS","LUYA","LAMUD",12,2,2,1,20
"20","x010502","AMAZONAS","LUYA","CAMPORREDONDO",7,3,3,0,26
"21","x010503","AMAZONAS","LUYA","COCABAMBA",3,0,0,0,1
"22","x010506","AMAZONAS","LUYA","INGUILPATA",3,0,0,0,0
"23","x010509","AMAZONAS","LUYA","LUYA",11,2,0,0,18
"24","x010512","AMAZONAS","LUYA","OCALLI",16,2,0,0,19
"25","x010513","AMAZONAS","LUYA","OCUMAL",2,0,0,0,8
"26","x010514","AMAZONAS","LUYA","PISUQUIA",2,2,0,0,19
"27","x010521","AMAZONAS","LUYA","SANTO TOMAS",3,0,0,0,0
"28","x010522","AMAZONAS","LUYA","TINGO",1,5,0,3,16
"29","x010601","AMAZONAS","RODRIGUEZ DE MENDOZA","SAN NICOLAS",15,12,0,4,58
"30","x010604","AMAZONAS","RODRIGUEZ DE MENDOZA","HUAMBO",30,0,1,2,33
"31","x010605","AMAZONAS","RODRIGUEZ DE MENDOZA","LIMABAMBA",4,0,1,0,24
"32","x010606","AMAZONAS","RODRIGUEZ DE MENDOZA","LONGAR",10,1,1,0,15
"33","x010609","AMAZONAS","RODRIGUEZ DE MENDOZA","OMIA",11,0,0,1,23
"34","x010610","AMAZONAS","RODRIGUEZ DE MENDOZA","SANTA ROSA",0,0,0,0,10
"35","x010701","AMAZONAS","UTCUBAMBA","BAGUA GRANDE",212,12,4,5,322
"36","x010702","AMAZONAS","UTCUBAMBA","CAJARURO",41,1,3,2,83
"37","x010703","AMAZONAS","UTCUBAMBA","CUMBA",15,1,8,0,16
"38","x010705","AMAZONAS","UTCUBAMBA","JAMALCA",13,0,2,1,14
"39","x010706","AMAZONAS","UTCUBAMBA","LONYA GRANDE",3,0,0,0,0
"40","x020101","ANCASH","HUARAZ","HUARAZ",165,0,1,2,417
"41","x020105","ANCASH","HUARAZ","INDEPENDENCIA",22,31,0,0,158
"42","x020110","ANCASH","HUARAZ","PARIACOTO",4,0,0,0,7
"43","x020111","ANCASH","HUARAZ","PIRA",13,1,1,1,41
"44","x020112","ANCASH","HUARAZ","TARICA",10,0,0,0,35
"45","x020201","ANCASH","AIJA","AIJA",9,0,0,0,2
"46","x020301","ANCASH","ANTONIO RAYMONDI","LLAMELLIN",5,1,0,0,18
"47","x020401","ANCASH","ASUNCION","CHACAS",10,4,0,1,53
"48","x020501","ANCASH","BOLOGNESI","CHIQUIAN",12,0,0,1,41
"49","x020505","ANCASH","BOLOGNESI","CAJACAY",14,8,0,0,15
"50","x020507","ANCASH","BOLOGNESI","COLQUIOC",8,3,0,0,8
