"","UBIGEO","DEPARTAMENTO","PROVINCIA","DISTRITO","FALTAS_CONTRA_EL_PATRIMONIO","FALTAS_CONTRA_LA_SEGURIDAD_PUBLICA","FALTAS_CONTRA_LA_TRANQUILIDAD_PUBLICA","FALTAS_CONTRA_LAS_BUENAS_COSTUMBRES","FALTAS_CONTRA_LAS_PERSONAS"
"1","x010101","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS",7,0,0,0,3
"2","x010103","AMAZONAS","CHACHAPOYAS","BALSAS",0,10,0,0,2
"3","x010109","AMAZONAS","CHACHAPOYAS","LA JALCA",2,0,0,0,0
"4","x010110","AMAZONAS","CHACHAPOYAS","LEIMEBAMBA",0,0,0,1,8
"5","x010113","AMAZONAS","CHACHAPOYAS","MARISCAL CASTILLA",0,1,0,1,1
"6","x010114","AMAZONAS","CHACHAPOYAS","MOLINOPAMPA",0,0,0,1,3
"7","x010117","AMAZONAS","CHACHAPOYAS","QUINJALCA",0,0,0,6,0
"8","x010118","AMAZONAS","CHACHAPOYAS","SAN FRANCISCO DE DAGUAS",2,0,0,0,0
"9","x010201","AMAZONAS","BAGUA","BAGUA",6,1,4,38,5
"10","x010202","AMAZONAS","BAGUA","ARAMANGO",3,0,0,0,8
"11","x010203","AMAZONAS","BAGUA","COPALLIN",2,0,1,8,2
"12","x010205","AMAZONAS","BAGUA","IMAZA",0,0,0,1,0
"13","x010206","AMAZONAS","BAGUA","LA PECA",0,0,0,0,1
"14","x010301","AMAZONAS","BONGARA","JUMBILLA",1,0,0,2,0
"15","x010306","AMAZONAS","BONGARA","FLORIDA",2,0,0,1,9
"16","x010307","AMAZONAS","BONGARA","JAZAN",1,0,1,8,19
"17","x010311","AMAZONAS","BONGARA","VALERA",0,1,0,7,1
"18","x010312","AMAZONAS","BONGARA","YAMBRASBAMBA",0,0,0,0,2
"19","x010401","AMAZONAS","CONDORCANQUI","NIEVA",12,0,1,7,3
"20","x010501","AMAZONAS","LUYA","LAMUD",2,0,0,2,5
"21","x010502","AMAZONAS","LUYA","CAMPORREDONDO",6,0,0,1,1
"22","x010503","AMAZONAS","LUYA","COCABAMBA",2,0,0,0,1
"23","x010506","AMAZONAS","LUYA","INGUILPATA",0,0,0,3,1
"24","x010509","AMAZONAS","LUYA","LUYA",0,0,0,0,1
"25","x010512","AMAZONAS","LUYA","OCALLI",0,0,0,0,1
"26","x010513","AMAZONAS","LUYA","OCUMAL",9,5,0,0,11
"27","x010521","AMAZONAS","LUYA","SANTO TOMAS",0,0,1,1,2
"28","x010522","AMAZONAS","LUYA","TINGO",3,0,0,2,1
"29","x010601","AMAZONAS","RODRIGUEZ DE MENDOZA","SAN NICOLAS",2,0,0,0,3
"30","x010604","AMAZONAS","RODRIGUEZ DE MENDOZA","HUAMBO",9,0,0,3,6
"31","x010605","AMAZONAS","RODRIGUEZ DE MENDOZA","LIMABAMBA",4,0,0,1,0
"32","x010606","AMAZONAS","RODRIGUEZ DE MENDOZA","LONGAR",8,0,0,2,1
"33","x010609","AMAZONAS","RODRIGUEZ DE MENDOZA","OMIA",11,6,1,0,32
"34","x010701","AMAZONAS","UTCUBAMBA","BAGUA GRANDE",100,6,1,6,26
"35","x010702","AMAZONAS","UTCUBAMBA","CAJARURO",6,1,3,3,0
"36","x010703","AMAZONAS","UTCUBAMBA","CUMBA",0,0,0,0,7
"37","x010704","AMAZONAS","UTCUBAMBA","EL MILAGRO",3,0,0,0,15
"38","x010705","AMAZONAS","UTCUBAMBA","JAMALCA",3,0,0,11,4
"39","x010706","AMAZONAS","UTCUBAMBA","LONYA GRANDE",5,0,0,0,0
"40","x020101","ANCASH","HUARAZ","HUARAZ",100,1,4,5,588
"41","x020105","ANCASH","HUARAZ","INDEPENDENCIA",20,46,3,5,144
