"","UBIGEO","DEPARTAMENTO","PROVINCIA","DISTRITO","FALTAS_CONTRA_EL_PATRIMONIO","FALTAS_CONTRA_LA_SEGURIDAD_PUBLICA","FALTAS_CONTRA_LA_TRANQUILIDAD_PUBLICA","FALTAS_CONTRA_LAS_BUENAS_COSTUMBRES","FALTAS_CONTRA_LAS_PERSONAS"
"1","x010101","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS",7,0,1,0,48
"2","x010103","AMAZONAS","CHACHAPOYAS","BALSAS",1,0,0,0,0
"3","x010106","AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA",2,0,0,0,2
"4","x010109","AMAZONAS","CHACHAPOYAS","LA JALCA",1,0,1,0,1
"5","x010110","AMAZONAS","CHACHAPOYAS","LEIMEBAMBA",3,0,1,0,9
"6","x010113","AMAZONAS","CHACHAPOYAS","MARISCAL CASTILLA",0,0,0,0,1
"7","x010114","AMAZONAS","CHACHAPOYAS","MOLINOPAMPA",0,0,0,0,1
"8","x010117","AMAZONAS","CHACHAPOYAS","QUINJALCA",1,0,0,0,0
"9","x010118","AMAZONAS","CHACHAPOYAS","SAN FRANCISCO DE DAGUAS",0,0,0,0,2
"10","x010201","AMAZONAS","BAGUA","BAGUA",8,0,3,0,26
"11","x010202","AMAZONAS","BAGUA","ARAMANGO",1,0,0,3,0
"12","x010205","AMAZONAS","BAGUA","IMAZA",3,0,1,2,3
"13","x010206","AMAZONAS","BAGUA","LA PECA",2,0,1,1,8
"14","x010301","AMAZONAS","BONGARA","JUMBILLA",2,0,0,0,8
"15","x010306","AMAZONAS","BONGARA","FLORIDA",1,0,0,4,5
"16","x010307","AMAZONAS","BONGARA","JAZAN",3,1,1,11,7
"17","x010311","AMAZONAS","BONGARA","VALERA",1,0,0,2,2
"18","x010312","AMAZONAS","BONGARA","YAMBRASBAMBA",1,0,0,0,0
"19","x010401","AMAZONAS","CONDORCANQUI","NIEVA",0,0,0,8,13
"20","x010501","AMAZONAS","LUYA","LAMUD",0,1,0,3,1
"21","x010502","AMAZONAS","LUYA","CAMPORREDONDO",1,0,0,0,3
"22","x010504","AMAZONAS","LUYA","COLCAMAR",1,0,0,0,2
"23","x010506","AMAZONAS","LUYA","INGUILPATA",1,0,0,2,3
"24","x010509","AMAZONAS","LUYA","LUYA",1,0,0,0,2
"25","x010512","AMAZONAS","LUYA","OCALLI",1,0,0,0,1
"26","x010513","AMAZONAS","LUYA","OCUMAL",0,0,0,0,1
"27","x010521","AMAZONAS","LUYA","SANTO TOMAS",0,0,0,0,2
"28","x010522","AMAZONAS","LUYA","TINGO",1,0,0,0,2
"29","x010601","AMAZONAS","RODRIGUEZ DE MENDOZA","SAN NICOLAS",4,1,0,3,11
"30","x010604","AMAZONAS","RODRIGUEZ DE MENDOZA","HUAMBO",2,0,0,0,9
"31","x010605","AMAZONAS","RODRIGUEZ DE MENDOZA","LIMABAMBA",4,0,0,0,7
"32","x010606","AMAZONAS","RODRIGUEZ DE MENDOZA","LONGAR",1,0,0,1,8
"33","x010609","AMAZONAS","RODRIGUEZ DE MENDOZA","OMIA",0,0,0,2,2
"34","x010610","AMAZONAS","RODRIGUEZ DE MENDOZA","SANTA ROSA",0,0,0,1,0
"35","x010701","AMAZONAS","UTCUBAMBA","BAGUA GRANDE",5,4,0,10,32
"36","x010702","AMAZONAS","UTCUBAMBA","CAJARURO",6,1,0,2,9
"37","x010703","AMAZONAS","UTCUBAMBA","CUMBA",2,0,0,1,4
"38","x010704","AMAZONAS","UTCUBAMBA","EL MILAGRO",1,0,0,1,3
"39","x010705","AMAZONAS","UTCUBAMBA","JAMALCA",1,0,0,0,0
"40","x010706","AMAZONAS","UTCUBAMBA","LONYA GRANDE",4,0,0,0,10
"41","x020101","ANCASH","HUARAZ","HUARAZ",143,1,28,28,684
"42","x020105","ANCASH","HUARAZ","INDEPENDENCIA",1,0,0,2,12
"43","x020110","ANCASH","HUARAZ","PARIACOTO",3,0,0,0,1
"44","x020111","ANCASH","HUARAZ","PIRA",0,0,0,0,5
"45","x020112","ANCASH","HUARAZ","TARICA",0,1,0,0,25
"46","x020201","ANCASH","AIJA","AIJA",0,0,1,0,9
"47","x020301","ANCASH","ANTONIO RAYMONDI","LLAMELLIN",2,1,0,0,4
"48","x020401","ANCASH","ASUNCION","CHACAS",4,0,0,0,9
"49","x020501","ANCASH","BOLOGNESI","CHIQUIAN",3,0,0,0,29
"50","x020505","ANCASH","BOLOGNESI","CAJACAY",3,0,0,0,2
"51","x020507","ANCASH","BOLOGNESI","COLQUIOC",1,0,0,0,1
"52","x020508","ANCASH","BOLOGNESI","HUALLANCA",6,0,0,0,14
"53","x020601","ANCASH","CARHUAZ","CARHUAZ",4,1,0,2,34
"54","x020604","ANCASH","CARHUAZ","ANTA",2,0,0,2,10
"55","x020606","ANCASH","CARHUAZ","MARCARA",2,0,0,0,6
"56","x020701","ANCASH","CARLOS FERMIN FITZCARRALD","SAN LUIS",3,0,0,0,12
"57","x020801","ANCASH","CASMA","CASMA",1,0,0,0,48
"58","x020804","ANCASH","CASMA","YAUTAN",1,0,0,1,2
"59","x020901","ANCASH","CORONGO","CORONGO",2,0,0,0,0
"60","x020905","ANCASH","CORONGO","LA PAMPA",2,0,0,0,1
"61","x021001","ANCASH","HUARI","HUARI",2,0,0,1,9
"62","x021004","ANCASH","HUARI","CHAVIN DE HUANTAR",2,0,0,0,8
"63","x021009","ANCASH","HUARI","MASIN",1,0,0,2,6
"64","x021014","ANCASH","HUARI","SAN MARCOS",0,0,0,0,31
"65","x021016","ANCASH","HUARI","UCO",0,0,0,0,2
"66","x021101","ANCASH","HUARMEY","HUARMEY",4,0,0,6,45
"67","x021201","ANCASH","HUAYLAS","CARAZ",2,2,0,0,42
"68","x021202","ANCASH","HUAYLAS","HUALLANCA",0,2,0,3,3
"69","x021204","ANCASH","HUAYLAS","HUAYLAS",2,0,0,0,8
"70","x021206","ANCASH","HUAYLAS","PAMPAROMAS",0,0,0,0,1
"71","x021301","ANCASH","MARISCAL LUZURIAGA","PISCOBAMBA",3,0,0,0,16
"72","x021401","ANCASH","OCROS","OCROS",1,0,0,2,1
"73","x021501","ANCASH","PALLASCA","CABANA",1,0,0,0,5
"74","x021503","ANCASH","PALLASCA","CONCHUCOS",0,0,0,0,1
"75","x021508","ANCASH","PALLASCA","PALLASCA",1,0,0,0,7
"76","x021509","ANCASH","PALLASCA","PAMPAS",0,0,0,1,5
"77","x021511","ANCASH","PALLASCA","TAUCA",2,0,1,7,9
"78","x021601","ANCASH","POMABAMBA","POMABAMBA",1,0,1,0,9
"79","x021701","ANCASH","RECUAY","RECUAY",2,0,0,3,17
"80","x021702","ANCASH","RECUAY","CATAC",3,0,0,0,11
"81","x021703","ANCASH","RECUAY","COTAPARACO",0,0,0,1,1
"82","x021801","ANCASH","SANTA","CHIMBOTE",100,5,4,16,389
"83","x021802","ANCASH","SANTA","CACERES DEL PERU",3,0,0,0,12
"84","x021803","ANCASH","SANTA","COISHCO",17,1,4,6,60
"85","x021804","ANCASH","SANTA","MACATE",1,0,0,1,3
"86","x021805","ANCASH","SANTA","MORO",7,0,0,0,16
"87","x021806","ANCASH","SANTA","NEPEÑA",7,0,0,0,10
"88","x021807","ANCASH","SANTA","SAMANCO",3,1,0,0,17
"89","x021808","ANCASH","SANTA","SANTA",2,0,3,0,21
"90","x021809","ANCASH","SANTA","NUEVO CHIMBOTE",59,1,2,9,333
"91","x021901","ANCASH","SIHUAS","SIHUAS",1,0,0,2,10
"92","x022001","ANCASH","YUNGAY","YUNGAY",2,0,0,0,3
"93","x022003","ANCASH","YUNGAY","MANCOS",1,0,0,0,8
"94","x022005","ANCASH","YUNGAY","QUILLO",0,0,0,0,2
"95","x022008","ANCASH","YUNGAY","YANAMA",1,0,0,0,1
"96","x030101","APURIMAC","ABANCAY","ABANCAY",48,1,2,2,287
"97","x030102","APURIMAC","ABANCAY","CHACOCHE",6,0,0,0,10
"98","x030104","APURIMAC","ABANCAY","CURAHUASI",1,0,1,1,40
"99","x030105","APURIMAC","ABANCAY","HUANIPACA",2,0,0,0,4
"100","x030106","APURIMAC","ABANCAY","LAMBRAMA",0,0,1,1,8
"101","x030108","APURIMAC","ABANCAY","SAN PEDRO DE CACHORA",1,0,0,0,0
"102","x030109","APURIMAC","ABANCAY","TAMBURCO",8,1,0,1,45
"103","x030201","APURIMAC","ANDAHUAYLAS","ANDAHUAYLAS",17,0,0,6,217
"104","x030202","APURIMAC","ANDAHUAYLAS","ANDARAPA",1,0,0,0,2
"105","x030204","APURIMAC","ANDAHUAYLAS","HUANCARAMA",1,0,0,2,8
"106","x030205","APURIMAC","ANDAHUAYLAS","HUANCARAY",1,0,0,0,9
"107","x030207","APURIMAC","ANDAHUAYLAS","KISHUARA",1,0,0,0,1
"108","x030209","APURIMAC","ANDAHUAYLAS","PACUCHA",0,0,0,2,16
"109","x030210","APURIMAC","ANDAHUAYLAS","PAMPACHIRI",0,0,0,3,27
"110","x030212","APURIMAC","ANDAHUAYLAS","SAN ANTONIO DE CACHI",0,0,0,0,3
"111","x030215","APURIMAC","ANDAHUAYLAS","SANTA MARIA DE CHICMO",5,0,0,0,26
"112","x030216","APURIMAC","ANDAHUAYLAS","TALAVERA",16,0,0,5,71
"113","x030220","APURIMAC","ANDAHUAYLAS","JOSE MARIA ARGUEDAS",2,1,0,1,11
"114","x030301","APURIMAC","ANTABAMBA","ANTABAMBA",3,0,0,2,34
"115","x030305","APURIMAC","ANTABAMBA","OROPESA",4,1,2,1,13
"116","x030306","APURIMAC","ANTABAMBA","PACHACONAS",1,0,0,0,10
"117","x030401","APURIMAC","AYMARAES","CHALHUANCA",4,0,0,0,16
"118","x030406","APURIMAC","AYMARAES","COTARUSE",2,0,0,0,12
"119","x030414","APURIMAC","AYMARAES","TAPAIRIHUA",4,0,0,0,25
"120","x030415","APURIMAC","AYMARAES","TINTAY",2,0,0,0,9
"121","x030417","APURIMAC","AYMARAES","YANACA",3,0,1,4,12
"122","x030501","APURIMAC","COTABAMBAS","TAMBOBAMBA",0,0,0,5,11
"123","x030502","APURIMAC","COTABAMBAS","COTABAMBAS",0,0,0,0,8
"124","x030503","APURIMAC","COTABAMBAS","COYLLURQUI",0,0,0,0,3
"125","x030504","APURIMAC","COTABAMBAS","HAQUIRA",1,0,0,0,19
"126","x030505","APURIMAC","COTABAMBAS","MARA",7,0,1,5,30
"127","x030506","APURIMAC","COTABAMBAS","CHALLHUAHUACHO",21,0,2,5,62
"128","x030601","APURIMAC","CHINCHEROS","CHINCHEROS",10,0,3,1,43
"129","x030602","APURIMAC","CHINCHEROS","ANCO-HUALLO",5,2,0,1,55
"130","x030603","APURIMAC","CHINCHEROS","COCHARCAS",0,0,0,0,3
"131","x030604","APURIMAC","CHINCHEROS","HUACCANA",2,0,0,0,9
"132","x030605","APURIMAC","CHINCHEROS","OCOBAMBA",3,0,0,14,20
"133","x030606","APURIMAC","CHINCHEROS","ONGOY",1,0,0,1,9
"134","x030607","APURIMAC","CHINCHEROS","URANMARCA",5,0,0,0,10
"135","x030608","APURIMAC","CHINCHEROS","RANRACANCHA",2,0,0,0,6
"136","x030701","APURIMAC","GRAU","CHUQUIBAMBILLA",4,0,0,5,48
"137","x030703","APURIMAC","GRAU","GAMARRA",2,0,0,2,1
"138","x030705","APURIMAC","GRAU","MAMARA",0,0,0,0,7
"139","x030708","APURIMAC","GRAU","PROGRESO",1,0,0,3,14
"140","x030712","APURIMAC","GRAU","VILCABAMBA",0,0,0,2,9
"141","x040101","AREQUIPA","AREQUIPA","AREQUIPA",599,2,11,15,595
"142","x040102","AREQUIPA","AREQUIPA","ALTO SELVA ALEGRE",60,1,3,7,291
"143","x040103","AREQUIPA","AREQUIPA","CAYMA",195,3,44,22,199
"144","x040104","AREQUIPA","AREQUIPA","CERRO COLORADO",444,1,8,80,736
"145","x040105","AREQUIPA","AREQUIPA","CHARACATO",49,3,1,3,101
"146","x040106","AREQUIPA","AREQUIPA","CHIGUATA",6,0,0,0,16
"147","x040107","AREQUIPA","AREQUIPA","JACOBO HUNTER",33,0,1,28,59
"148","x040108","AREQUIPA","AREQUIPA","LA JOYA",95,0,4,9,189
"149","x040109","AREQUIPA","AREQUIPA","MARIANO MELGAR",23,0,1,13,147
"150","x040110","AREQUIPA","AREQUIPA","MIRAFLORES",35,2,2,81,231
"151","x040111","AREQUIPA","AREQUIPA","MOLLEBAYA",6,1,1,2,36
"152","x040112","AREQUIPA","AREQUIPA","PAUCARPATA",73,3,12,70,266
"153","x040113","AREQUIPA","AREQUIPA","POCSI",0,0,0,0,3
"154","x040114","AREQUIPA","AREQUIPA","POLOBAYA",3,0,0,0,10
"155","x040116","AREQUIPA","AREQUIPA","SABANDIA",3,0,0,0,16
"156","x040117","AREQUIPA","AREQUIPA","SACHACA",42,0,1,9,88
"157","x040119","AREQUIPA","AREQUIPA","SAN JUAN DE TARUCANI",1,0,0,3,0
"158","x040121","AREQUIPA","AREQUIPA","SANTA RITA DE SIGUAS",9,0,0,0,9
"159","x040122","AREQUIPA","AREQUIPA","SOCABAYA",72,2,1,9,149
"160","x040123","AREQUIPA","AREQUIPA","TIABAYA",8,0,0,3,40
"161","x040124","AREQUIPA","AREQUIPA","UCHUMAYO",20,1,2,25,37
"162","x040125","AREQUIPA","AREQUIPA","VITOR",12,0,5,8,20
"163","x040126","AREQUIPA","AREQUIPA","YANAHUARA",187,0,7,19,156
"164","x040127","AREQUIPA","AREQUIPA","YARABAMBA",16,1,2,8,33
"165","x040128","AREQUIPA","AREQUIPA","YURA",31,1,3,38,117
"166","x040129","AREQUIPA","AREQUIPA","JOSE LUIS BUSTAMANTE Y RIVERO",130,1,4,25,296
"167","x040201","AREQUIPA","CAMANA","CAMANA",11,1,1,4,76
"168","x040202","AREQUIPA","CAMANA","JOSE MARIA QUIMPER",4,0,0,2,13
"169","x040204","AREQUIPA","CAMANA","MARISCAL CACERES",5,0,0,0,13
"170","x040205","AREQUIPA","CAMANA","NICOLAS DE PIEROLA",6,0,1,9,14
"171","x040206","AREQUIPA","CAMANA","OCOÑA",12,3,3,21,40
"172","x040207","AREQUIPA","CAMANA","QUILCA",1,0,0,0,3
"173","x040208","AREQUIPA","CAMANA","SAMUEL PASTOR",3,1,0,7,68
"174","x040301","AREQUIPA","CARAVELI","CARAVELI",2,0,1,0,10
"175","x040302","AREQUIPA","CARAVELI","ACARI",6,0,0,0,12
"176","x040303","AREQUIPA","CARAVELI","ATICO",7,0,0,1,18
"177","x040305","AREQUIPA","CARAVELI","BELLA UNION",2,0,1,0,13
"178","x040307","AREQUIPA","CARAVELI","CHALA",5,0,0,4,7
"179","x040308","AREQUIPA","CARAVELI","CHAPARRA",3,0,0,1,4
"180","x040310","AREQUIPA","CARAVELI","JAQUI",1,0,0,1,2
"181","x040311","AREQUIPA","CARAVELI","LOMAS",4,0,0,4,2
"182","x040313","AREQUIPA","CARAVELI","YAUCA",1,0,0,1,4
"183","x040401","AREQUIPA","CASTILLA","APLAO",3,0,0,3,22
"184","x040402","AREQUIPA","CASTILLA","ANDAGUA",2,2,1,10,9
"185","x040408","AREQUIPA","CASTILLA","MACHAGUAY",2,0,0,0,3
"186","x040409","AREQUIPA","CASTILLA","ORCOPAMPA",4,0,0,1,7
"187","x040410","AREQUIPA","CASTILLA","PAMPACOLCA",1,0,0,0,7
"188","x040413","AREQUIPA","CASTILLA","URACA",7,0,0,3,10
"189","x040414","AREQUIPA","CASTILLA","VIRACO",6,0,1,0,37
"190","x040501","AREQUIPA","CAYLLOMA","CHIVAY",5,0,2,5,45
"191","x040503","AREQUIPA","CAYLLOMA","CABANACONDE",1,0,0,0,8
"192","x040505","AREQUIPA","CAYLLOMA","CAYLLOMA",3,0,0,3,9
"193","x040507","AREQUIPA","CAYLLOMA","HUAMBO",7,0,1,11,20
"194","x040513","AREQUIPA","CAYLLOMA","MADRIGAL",2,0,2,1,3
"195","x040514","AREQUIPA","CAYLLOMA","SAN ANTONIO DE CHUCA",1,0,1,0,2
"196","x040515","AREQUIPA","CAYLLOMA","SIBAYO",2,0,0,0,5
"197","x040520","AREQUIPA","CAYLLOMA","MAJES",5,0,2,0,78
"198","x040601","AREQUIPA","CONDESUYOS","CHUQUIBAMBA",3,0,0,11,6
"199","x040602","AREQUIPA","CONDESUYOS","ANDARAY",1,0,0,0,1
"200","x040608","AREQUIPA","CONDESUYOS","YANAQUIHUA",1,0,1,1,2
"201","x040701","AREQUIPA","ISLAY","MOLLENDO",38,0,1,1,111
"202","x040702","AREQUIPA","ISLAY","COCACHACRA",8,0,0,12,52
"203","x040703","AREQUIPA","ISLAY","DEAN VALDIVIA",1,0,1,1,11
"204","x040704","AREQUIPA","ISLAY","ISLAY",7,0,1,0,14
"205","x040705","AREQUIPA","ISLAY","MEJIA",1,0,0,0,0
"206","x040706","AREQUIPA","ISLAY","PUNTA DE BOMBON",5,0,0,4,25
"207","x040801","AREQUIPA","LA UNION","COTAHUASI",0,0,0,0,4
"208","x050101","AYACUCHO","HUAMANGA","AYACUCHO",18,2,0,4,64
"209","x050103","AYACUCHO","HUAMANGA","ACOS VINCHOS",0,0,0,0,1
"210","x050104","AYACUCHO","HUAMANGA","CARMEN ALTO",0,0,0,3,14
"211","x050106","AYACUCHO","HUAMANGA","OCROS",1,0,0,1,3
"212","x050108","AYACUCHO","HUAMANGA","QUINUA",4,0,0,0,1
"213","x050115","AYACUCHO","HUAMANGA","JESUS NAZARENO",0,0,0,1,0
"214","x050201","AYACUCHO","CANGALLO","CANGALLO",1,0,0,0,0
"215","x050202","AYACUCHO","CANGALLO","CHUSCHI",1,0,0,0,1
"216","x050203","AYACUCHO","CANGALLO","LOS MOROCHUCOS",2,0,0,0,6
"217","x050206","AYACUCHO","CANGALLO","TOTOS",0,0,1,1,3
"218","x050301","AYACUCHO","HUANCA SANCOS","SANCOS",2,0,0,0,6
"219","x050401","AYACUCHO","HUANTA","HUANTA",40,1,0,0,125
"220","x050403","AYACUCHO","HUANTA","HUAMANGUILLA",4,0,0,1,2
"221","x050407","AYACUCHO","HUANTA","SIVIA",2,0,0,0,5
"222","x050408","AYACUCHO","HUANTA","LLOCHEGUA",7,0,0,0,0
"223","x050503","AYACUCHO","LA MAR","AYNA",7,0,0,1,15
"224","x050508","AYACUCHO","LA MAR","TAMBO",1,0,0,0,2
"225","x050509","AYACUCHO","LA MAR","SAMUGARI",1,1,0,0,0
"226","x050601","AYACUCHO","LUCANAS","PUQUIO",5,0,0,4,46
"227","x050602","AYACUCHO","LUCANAS","AUCARA",0,0,0,0,2
"228","x050603","AYACUCHO","LUCANAS","CABANA",2,0,0,0,2
