"UBIGEO","POBLACION"
"x040604",726.000021103
"x040605",640.999846341
"x040606",3567.00024607601
"x040607",517.000057219
"x040608",4288.00007248099
"x040701",26733.0003409889
"x040702",8823.00037211595
"x040703",7166.99955070202
"x040704",5278.99990527999
"x040705",1255.00013127
"x040706",6695.998965866
"x040801",3088.99988216001
"x040802",1974.999682541
"x040803",617.999939806
"x040804",2040.999600297
"x040805",1203.999788996
"x040806",2528.00069963801
"x040807",286.999966386
"x040808",346.999970674
"x040809",329.000096552
"x040810",724.000033021
"x040811",604.999967831999
"x050101",103514.959234262
"x050102",8087.99580562903
"x050103",4600.000723843
"x050104",29459.0004843393
"x050105",6154.000134767
"x050106",5701.99919175699
"x050107",3295.99977589201
"x050108",5384.99993313201
"x050109",1477.999615562
"x050110",50325.0015194781
"x050111",1515.000050802
"x050112",6327.99988496997
"x050113",5504.00014400698
"x050114",14900.994822463
"x050115",19480.0018179979
"x050116",29229.9990459108
"x050201",6008.00219659697
"x050202",8905.99949997904
"x050203",8146.00015278399
"x050204",2167.00019012301
"x050205",4407.99985209801
"x050206",3176.999598755
"x050301",3238.99950556
"x050302",1915.999705916
"x050303",1392.000311615
"x050304",2181.000017759
"x050401",41614.9902699399
"x050402",1260.000182269
"x050403",4400.00000883598
"x050404",2838.000264319
"x050405",5989.99992798701
"x050406",4074.999618867
"x050407",11915.004162853
"x050408",11058.0012727902
"x050409",3938.00025208899
"x050410",3861.000510348
"x050411",2692.000225697
"x050412",2261.999648558
"x050501",11167.998819736
"x050502",8495.99981443103
"x050503",10038.000841611
"x050504",1738.000345588
"x050505",4545.00014146201
"x050506",1337.000032889
"x050507",12376.9968578841
"x050508",10667.007174771
"x050509",10459.0044640011
"x050510",4501.00051664097
"x050511",1126.999851742
"x050601",14438.992360754
"x050602",2963.001547928
"x050603",2192.998829299
"x050604",1797.000139706
"x050605",2302.999436247
"x050606",2702.000000132
"x050607",1732.00009357
"x050608",1721.000120643
"x050609",1181.99994708
"x050610",960.000108595001
"x050611",2896.999947664
"x050612",2452.999866123
"x050613",2041.000240549
"x050614",851.000020390002
"x050615",1850.000009067
"x050616",1022.999685881
"x050617",2785.000579724
"x050618",1001.000200885
"x050619",4987.00053980601
"x050620",827.999999765001
"x050621",1378.999595889
"x050701",13851.9991909811
"x050702",2334.000165018
"x050703",1767.000269071
"x050704",669.999981394999
"x050705",6548.00097724799
"x050706",2176.000333201
"x050707",548.000035282
"x050708",1224.000297085
"x050801",3316.99879385501
"x050802",495.999971872
"x050803",468.999980093
"x050804",2078.99951017299
"x050805",652.000024904
"x050806",1525.000254883
"x050807",438.999934071
"x050808",312.000039337
"x050809",232.999948615
"x050810",537.000004167
"x050901",2615.998962852
"x050902",346.999999169
"x050903",505.999964965
"x050904",515.000052449
"x050905",390.000045896
"x050906",1311.000343813
"x050907",582.999960072
"x050908",843.999957557
"x050909",1047.999726898
"x050910",625.000027897
"x050911",1059.000213531
"x051001",1975.999832625
"x051002",1582.999987974
"x051003",660.999965791
"x051004",482.999925973
"x051005",4012.999161793
"x051006",1176.999492764
"x051007",1057.999690284
"x051008",1137.999662764
"x051009",1338.000441077
"x051010",2188.999726157
"x051011",2692.00033880501
"x051012",2496.999940868
"x051101",6835.001977287
"x051102",935.999921073999
"x051103",869.999963037
"x051104",1765.999875251
"x051105",1429.999755616
"x051106",1212.999546447
"x051107",1114.999668959
"x051108",4004.000451364
"x060101",231243.022395316
"x060102",8484.00001855898
"x060103",3877.998547327
"x060104",7264.00255347097
"x060105",20568.001678059
"x060106",16064.0001137691
"x060107",6225.00015184008
"x060108",48601.9785836397
"x060109",8847.99937228999
"x060110",3769.00013554299
"x060111",10085.004583592
"x060112",4563.99915051399
"x060201",32650.9966083825
"x060202",25109.0050241592
"x060203",14749.004868922
"x060204",8120.99896640407
"x060301",28005.0000042212
"x060302",2762.00145305699
"x060303",7449.000875803
"x060304",11279.004675948
"x060305",477.000075818
"x060306",2756.998942623
"x060307",4077.999642623
"x060308",5907.00005486502
"x060309",7898.99993348605
"x060310",5504.00069119502
"x060311",1116.000729331
"x060312",6990.000173049
"x060401",49863.014042071
"x060402",3384.99973107099
"x060403",3700.999957056
"x060404",3799.999260525
"x060405",2379.000326982
"x060406",2467.000210066
"x060407",5959.99998165701
"x060408",6008.99985894201
"x060409",8712.99885957206
"x060410",11746.0006738051
"x060411",7480.99686745302
"x060412",3359.000144504
"x060413",4701.99822367302
"x060414",1281.00008904
"x060415",8849.00070422801
"x060416",995.000451452
"x060417",17007.991707795
"x060418",896.999999171001
"x060419",9788.00044992799
"x060501",8131.00016637893
"x060502",2810.99992572901
"x060503",1422.999964709
"x060504",2844.998839502
"x060505",3569.00026389999
"x060506",1056.999555252
"x060507",2609.00055311301
"x060508",7086.99786371805
"x060601",51308.9743552133
"x060602",9721.99917655103
"x060603",3317.000467756
"x060604",2618.00008076199
"x060605",4087.99972865902
"x060606",5288.00024063802
"x060607",13911.0035104521
"x060608",4442.00163169801
"x060609",1899.999940376
"x060610",3153.00055164701
"x060611",2757.99961808499
"x060612",5070.99702935897
"x060613",7686.99921084902
"x060614",9406.001166166
"x060615",1163.000035834
"x060701",65204.9987540809
"x060702",3050.99940609901
"x060703",16223.0014240687
"x060801",100920.015995951
"x060802",16081.9988091318
"x060803",10260.001387503
"x060804",10663.0039477111
"x060805",8651.0011451291
"x060806",4547.00059303297
"x060807",9079.00366121901
"x060808",6856.00023031101
"x060809",7515.00298930799
"x060810",4882.000549183
"x060811",7749.00278717793
"x060812",10630.0033187059
"x060901",38134.9986170007
"x060902",15316.0020503059
"x060903",18857.994953656
"x060904",20538.0143291308
"x060905",9922.00326144102
"x060906",19372.0012389457
"x060907",19333.0005324109
"x061001",21014.9891951679
"x061002",3095.999809141
"x061003",2850.999353154
"x061004",5460.99935091001
"x061005",1995.000447952
"x061006",3710.999998875
"x061007",13023.0086325539
"x061101",14269.0062364811
"x061102",1367.999225146
"x061103",4286.002052789
"x061104",2901.00045512601
"x061105",1703.998718613
"x061106",2220.999625791
"x061107",4708.99987459699
"x061108",1368.000066638
"x061109",3470.00045133
"x061110",2303.999812383
"x061111",3863.999723807
"x061112",2816.00018107
"x061113",3219.00015198401
"x061201",13352.0060123539
"x061202",4573.00066951301
"x061203",997.999983418999
"x061204",3649.00051376099
"x061301",9791.00112803103
"x061302",1383.999952215
"x061303",9731.99949032501
"x061304",3535.99987873901
"x061305",2437.99966675
"x061306",2162.999767592
"x061307",4049.99981711998
"x061308",1501.999494701
"x061309",446.000004172
"x061310",1320.999905735
"x061311",2959.000010243
"x070101",479418.116181887
"x070102",77679.0016891626
"x070103",44376.9998462734
"x070104",62387.0017527532
"x070105",3926.00006722001
"x070106",331118.997429936
"x070107",48047.0034073524
"x080101",124706.97810626
"x080102",2410.99989284799
"x080103",2644.000369529
"x080104",61138.997781572
"x080105",120063.069743559
"x080106",100123.997290166
"x080107",5938.000017075
"x080108",61467.9861277119
"x080201",4779.00140688798
"x080202",2952.99944007399
"x080203",2395.000114907
"x080204",1203.000378482
"x080205",7767.99737153801
"x080206",2094.999035983
"x080207",3484.998441157
"x080301",23431.9962882982
"x080302",7598.00353421594
"x080303",2588.999705696
"x080304",4428.00022138099
"x080305",4864.998758771
"x080306",8050.99969635601
"x080307",3376.999719246
"x080308",3250.999695322
"x080309",3762.000369904
"x080401",22560.9988828959
"x080402",3664.999428047
"x080403",5845.99960075497
"x080404",6570.99972507295
"x080405",11143.9963921489
"x080406",5975.99999005
"x080407",4758.00037492502
"x080408",9780.99995484402
"x080501",9366.99851703103
"x080502",5589.99987873794
"x080503",5247.99951676101
"x080504",2205.00047287101
"x080505",5685.00058436102
"x080506",1924.00051188999
"x080507",2777.999683716
"x080508",2688.99978411
"x080601",62747.0031524482
"x080602",5152.99916800801
"x080603",5059.99991725801
"x080604",10554.002980593
"x080605",8090.99954857403
"x080606",4581.999553337
"x080607",2846.000364792
"x080608",5493.997652204
"x080701",23204.9999780319
"x080702",4220.99995495103
"x080703",6750.00023312802
"x080704",7423.00095872898
"x080705",12556.7212985599
"x080706",4697.99969289299
"x080707",4078.99986363898
"x080708",8332.276513432
"x080801",37186.9975977064
"x080802",937.000022535001
"x080803",10929.0007258911
"x080804",1103.999296901
"x080805",5162.99855486605
"x080806",3015.999645927
"x080807",1765.999948256
"x080808",2094.000724095
"x080901",30861.9869160756
"x080902",27152.9925000643
"x080903",5581.99861755502
"x080904",4763.00034688703
"x080905",4931.99969101298
"x080906",15224.000047455
"x080907",18722.0012611091
"x080908",7003.00010414706
"x080909",10944.0027856019
"x080910",25366.0004038929
"x080911",4891.99973994402
"x080912",2321.000359302
"x080913",2315.000007987
"x080914",7622.00040739398
"x081001",3486.00017934599
"x081002",3266.999923694
"x081003",3265.00030195401
"x081004",1017.999576938
"x081005",5180.00001703198
"x081006",5972.00010710403
"x081007",2161.99946437
"x081008",1089.000001892
"x081009",2057.000281341
"x081101",13150.9950907158
"x081102",2935.000629408
"x081103",9546.000673037
"x081104",9069.00075165598
"x081105",7666.99978872094
"x081106",4871.99994289098
"x081201",11728.0016538931
"x081202",6485.00029711495
"x081203",2480.999661436
"x081204",3105.00018574
"x081205",14976.9974205362
"x081206",4694.999897605
"x081207",4848.000029287
"x081208",4916.99952091697
"x081209",4868.00002170704
"x081210",17465.9906112457
"x081211",10280.99628615
"x081212",11555.9989149789
"x081301",22406.0073405544
"x081302",11652.0020524599
"x081303",6011.99993342103
"x081304",5613.999704668
"x081305",6667.99997018895
"x081306",11380.998874948
"x081307",3341.99978510199
"x090101",40745.0169585369
"x090102",2147.999240283
"x090103",18917.991225918
"x090104",897.999691261001
"x090105",1189.999953514
"x090106",1955.000302054
"x090107",689.999982959
"x090108",897.000005603
"x090109",773.000230320001
"x090110",1002.00042295
"x090111",525.999828337
"x090112",1031.000147706
"x090113",1804.999162181
"x090114",2094.000053107
"x090115",523.999967693
"x090116",1997.999543884
"x090117",20847.0011598763
"x090118",16084.995519379
"x090119",6573.00033115198
"x090201",9398.00448219993
"x090202",3351.999608192
"x090203",4935.99902680801
"x090204",1942.001259204
"x090205",1612.000575305
"x090206",10903.004567964
"x090207",3024.000700467
"x090208",5157.000615968
"x090301",24722.0052844761
"x090302",7455.99947927299
"x090303",641.999993023
"x090304",3123.99815320799
"x090305",994.000083069999
"x090306",3764.999139488
"x090307",1401.00015664
"x090308",1150.000124216
"x090309",1799.999832806
"x090310",2453.999491935
"x090311",1516.000081883
"x090312",3202.999894629
"x090401",3126.000120896
"x090402",1029.000333673
"x090403",1559.999720235
"x090404",966.000500697001
"x090405",940.000008597
"x090406",750.999980225001
"x090407",984.000392674
"x090408",409.000017285
"x090409",1225.999951615
"x090410",712.000187386
"x090411",944.000016333998
"x090412",684.000046269
"x090413",1560.000504326
"x090501",5402.999862219
"x090502",5774.99967825896
"x090503",2077.999602161
"x090504",2548.00064443299
"x090505",1131.000583343
"x090506",3519.000920472
"x090507",4678.00037321301
"x090508",788.000051609
"x090509",3572.99980784699
"x090510",1972.000313738
"x090511",3084.000886094
"x090601",2288.000666004
"x090602",805.000066635
"x090603",1061.999681526
"x090604",467.999971507001
"x090605",883.000057989
"x090606",864.999933243
"x090607",2975.00106576999
"x090608",1094.000172154
"x090609",728.000069266
"x090610",1438.00027245
"x090611",954.999931868001
"x090612",1107.999727869
"x090613",1817.99995619201
"x090614",395.999899867
"x090615",787.999982348001
"x090616",718.999988539
"x090701",10420.99509684
"x090702",3461.99958860399
"x090703",3717.000309961
"x090704",4070.00132882701
"x090705",11859.000599423
"x090706",9611.00009534897
"x090707",3386.99893791401
"x090709",3168.000433179
"x090710",1548.999704474
"x090711",5426.998934573
"x090713",761.999871259
"x090714",4072.99790965199
"x090715",2835.00011347701
"x090716",1947.000415692
"x090717",4927.00040675201
"x090718",3210.99975396599
"x090719",4166.00045338599
"x090720",2529.000259512
"x090721",1376.99968781
"x090722",2061.999949461
"x090723",1612.000563038
"x100101",92845.9999225886
"x100102",85304.9975508739
"x100103",13411.000433515
"x100104",17278.9980721261
"x100105",4672.00053620699
"x100106",3721.99932281899
"x100107",4939.000899179
"x100108",2838.999640012
"x100109",21328.9876945273
"x100110",1600.999905891
"x100111",44775.9915352444
"x100112",5374.99948863503
"x100113",8524.99951483102
"x100201",21889.994393423
"x100202",2647.000018826
"x100203",1824.99970835
"x100204",4733.99975525602
"x100205",8145.00286411308
"x100206",1635.000351734
"x100207",9397.99987846701
"x100208",3596.99951481799
"x100301",6987.99852900001
"x100307",3498.99951302999
"x100311",5990.99896718001
"x100313",5804.00163572199
"x100316",1262.999783221
"x100317",5581.001017499
"x100321",1751.999991042
"x100322",1883.999700254
"x100323",2387.000354693
"x100401",6018.99937576801
"x100402",2802.999667377
"x100403",1665.999992847
"x100404",6699.99918101501
"x100501",14050.99968835
"x100502",1407.000497632
"x100503",3976.999572458
"x100504",6043.99665600003
"x100505",1493.000301964
"x100506",3211.00063388601
"x100507",13312.0032821131
"x100508",2056.999920206
"x100509",4288.999925418
"x100510",3239.99991153801
"x100511",1887.000010758
"x100601",55338.0012665327
"x100602",6843.00152482201
"x100603",3724.99961820501
"x100604",23205.9893781179
"x100605",9329.99682754205
"x100606",10818.9966100281
"x100607",3921.00169926301
"x100608",13594.011389933
"x100609",4473.99994592202
"x100610",2752.00036384
"x100701",15274.9914729399
"x100702",5857.99992207898
"x100703",2204.99968424301
"x100704",2972.00042688999
"x100705",2381.99938221101
"x100801",18562.99856052
"x100802",10912.9997353041
"x100803",11227.0035029941
"x100804",11937.9937289841
"x100901",10249.996075443
"x100902",7767.99730685601
"x100903",4969.000620618
"x100904",6219.00134070404
"x100905",6626.99868417202
"x101001",4361.99901922699
"x101002",2085.999641251
"x101003",1062.000126898
"x101004",1055.000015562
"x101005",3797.999904302
"x101006",1355.999699058
"x101007",6237.00137643402
"x101101",5014.99999348999
"x101102",1223.999685302
"x101103",1163.999640535
"x101104",5020.00084021503
"x101105",1159.999665656
"x101106",4121.99962573701
"x101107",1191.999831982
"x101108",2146.00016487
"x110101",155246.927404648
"x110102",41583.0023560788
"x110103",22881.996985681
"x110104",4683.001884473
"x110105",7582.99671800103
"x110106",56767.0168184666
"x110107",6639.99991639299
"x110108",26733.9983083001
"x110109",7385.00335902005
"x110110",14513.997992563
"x110111",28636.9956276128
"x110112",28594.9999674849
"x110113",4834.00042941901
"x110114",1202.000578058
"x110201",71579.0243774713
"x110202",8085.003889134
"x110203",2109.999869692
"x110204",13786.9973129291
"x110205",13172.9989886151
"x110206",26507.0059473119
"x110207",67054.0003181859
"x110208",1259.000474468
"x110209",1032.000054597
"x110210",30286.0100015209
"x110211",6011.99971703205
"x110301",28412.0032709714
"x110302",2080.999894366
"x110303",3366.000850084
"x110304",16466.002881414
"x110305",21604.99224786
"x110401",8212.00065243004
"x110402",1649.999597184
"x110403",2836.000622889
"x110404",1019.000085126
"x110405",364.000008461
"x110501",71518.9978479809
"x110502",1479.000183455
"x110503",5639.00028762298
"x110504",13776.005933524
"x110505",7516.00173768797
"x110506",15038.9928115659
"x110507",26042.998343677
"x110508",18099.995105962
"x120101",121495.025121629
"x120104",526.999942419
"x120105",990.00012225
"x120106",778.999729866999
"x120107",94847.9983443088
"x120108",1548.999860767
"x120111",2074.000189287
"x120112",1070.999738699
"x120113",1416.000076266
"x120114",169038.881002809
"x120116",1413.000321213
"x120117",5483.00057942399
"x120119",25971.9971760031
"x120120",867.000006490999
"x120121",10245.998957473
"x120122",2484.99999763301
"x120124",5526.99983983401
"x120125",21237.001853983
"x120126",5006.000730967
"x120127",1926.000399111
"x120128",4015.00078182699
"x120129",16483.0043064839
"x120130",12228.003520597
"x120132",5737.99990247699
"x120133",22115.993944451
"x120134",17778.996831606
"x120135",6696.00088493099
"x120136",2740.99932362001
"x120201",16169.00282158
"x120202",1693.99973358
"x120203",3715.00014823999
"x120204",2725.99975288399
"x120205",2011.000187038
"x120206",5778.00038929901
"x120207",1028.000129571
"x120208",1527.999715618
"x120209",1466.999919537
"x120210",6039.00245980697
"x120211",1455.000388433
"x120212",2360.000292369
"x120213",4945.000441685
"x120214",5827.00052160297
"x120215",2090.999541427
"x120301",28352.9855510808
"x120302",58922.9817139072
"x120303",44045.9999817433
"x120304",4396.999977054
"x120305",28508.005567361
"x120306",1852.999638145
"x120401",19119.9981775661
"x120402",6485.00061207998
"x120403",4637.99975747599
"x120404",1352.000328549
"x120405",1700.000252705
"x120406",1504.000991691
"x120407",2704.001130059
"x120408",1711.000367405
"x120409",1075.999978057
"x120410",2139.00004446
"x120411",593.999745599
"x120412",773.000050487
"x120413",1614.999767007
"x120414",1205.000048013
"x120415",1546.999702074
"x120416",1850.999759997
"x120417",770.000071865
"x120418",1645.000079279
"x120419",1773.999543906
"x120420",1051.999419749
"x120421",2374.00010896
"x120422",938.000163610001
"x120423",1523.000932215
"x120424",1284.999906242
"x120425",1212.000809963
"x120426",1506.000285926
"x120427",1346.000157642
"x120428",2674.999880897
"x120429",723.999952207999
"x120430",3224.00038489599
"x120431",4248.00013159299
"x120432",1066.000211524
"x120433",1150.000310123
"x120434",9862.00216613492
"x120501",11393.998683648
"x120502",6863.99755600398
"x120503",1276.000939486
"x120504",4424.999777933
"x120601",41049.9961730271
"x120602",6247.99910173301
"x120603",6935.999832388
"x120604",40210.9872584556
"x120605",4089.99964557704
"x120606",60883.0022273354
"x120607",32304.0021399515
"x120608",29130.9982725134
"x120609",4764.99992303401
"x120701",50471.0015076135
"x120702",10064.998080302
"x120703",2000.999333042
"x120704",10690.998816831
"x120705",3673.000329562
"x120706",5975.00355641301
